id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.725,0.0275,0.0336,70445,54687,Pipistrellus pygmaeus,0.72
1,0.769,0.0975,0.1033,78702,53828,Pipistrellus pygmaeus,0.766
2,0.734,0.1735,0.1789,76880,52968,Pipistrellus pygmaeus,0.731
3,0.743,0.2475,0.2528,79344,53828,Pipistrellus pygmaeus,0.74
4,0.735,0.3265,0.3312,76522,52968,Pipistrellus pygmaeus,0.73
5,0.79,0.4065,0.4122,86968,53828,Pipistrellus pygmaeus,0.787
6,0.815,0.4865,0.4919,80673,52968,Pipistrellus pygmaeus,0.811
7,0.746,0.5635,0.5691,80083,53828,Pipistrellus pygmaeus,0.742
8,0.791,0.6405,0.6467,79378,52968,Pipistrellus pygmaeus,0.784
9,0.802,0.7195,0.7251,77328,52968,Pipistrellus pygmaeus,0.796
10,0.73,0.7985,0.8046,79967,52968,Pipistrellus pygmaeus,0.717
11,0.778,0.8785,0.8843,73574,52968,Pipistrellus pygmaeus,0.771
12,0.796,0.9595,0.9636,71981,52109,Pipistrellus pygmaeus,0.79
13,0.808,1.1105,1.115,70688,52968,Pipistrellus pygmaeus,0.805
14,0.773,1.1825,1.189,84675,52968,Pipistrellus pygmaeus,0.757
15,0.811,1.2655,1.2718,83892,52109,Pipistrellus pygmaeus,0.8
16,0.83,1.3485,1.355,78091,51250,Pipistrellus pygmaeus,0.818
17,0.803,1.4265,1.4334,85783,51250,Pipistrellus pygmaeus,0.788
18,0.801,1.5105,1.5174,77420,51250,Pipistrellus pygmaeus,0.779
19,0.815,1.5945,1.6004,69385,50390,Pipistrellus pygmaeus,0.795
20,0.807,1.6785,1.6844,66247,50390,Pipistrellus pygmaeus,0.781
21,0.796,1.7565,1.7618,69083,50390,Pipistrellus pygmaeus,0.775
22,0.8,1.8345,1.8407,68453,51250,Pipistrellus pygmaeus,0.782
23,0.827,1.9115,1.9175,78842,51250,Pipistrellus pygmaeus,0.818
24,0.786,1.9955,2.0009,77383,52109,Pipistrellus pygmaeus,0.782
25,0.748,2.0725,2.0791,70534,52109,Pipistrellus pygmaeus,0.674
26,0.724,2.1455,2.1528,81969,52109,Pipistrellus pygmaeus,0.692
27,0.795,2.2255,2.2317,72874,52109,Pipistrellus pygmaeus,0.781
28,0.7,2.3315,2.337,59069,52109,Pipistrellus pygmaeus,0.687
29,0.631,2.5745,2.5793,65471,52968,Pipistrellus pygmaeus,0.619
