id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob
0,0.783,0.0265,0.033,88551,53828,Pipistrellus pygmaeus,0.782
1,0.83,0.1055,0.1113,92285,53828,Pipistrellus pygmaeus,0.828
2,0.761,0.1885,0.1944,91066,52968,Pipistrellus pygmaeus,0.76
3,0.791,0.2645,0.2712,95806,53828,Pipistrellus pygmaeus,0.79
4,0.796,0.3435,0.3503,93115,53828,Pipistrellus pygmaeus,0.794
5,0.812,0.4185,0.4252,93003,52968,Pipistrellus pygmaeus,0.811
6,0.788,0.5425,0.5495,95913,52109,Pipistrellus pygmaeus,0.787
7,0.828,0.6165,0.6233,96431,53828,Pipistrellus pygmaeus,0.827
8,0.777,0.6905,0.6976,97003,53828,Pipistrellus pygmaeus,0.776
9,0.772,0.7695,0.7762,92355,53828,Pipistrellus pygmaeus,0.771
10,0.802,0.8465,0.8535,93403,53828,Pipistrellus pygmaeus,0.8
11,0.758,0.9265,0.9315,85570,52968,Pipistrellus pygmaeus,0.756
12,0.722,1.0035,1.0095,89983,52968,Pipistrellus pygmaeus,0.72
13,0.683,1.0835,1.0886,64658,52968,Pipistrellus pygmaeus,0.68
14,0.788,1.1665,1.1715,76265,52109,Pipistrellus pygmaeus,0.784
15,0.731,1.2425,1.2479,71557,52968,Pipistrellus pygmaeus,0.726
16,0.79,1.3255,1.3306,70710,52968,Pipistrellus pygmaeus,0.782
17,0.721,1.4025,1.4075,66677,53828,Pipistrellus pygmaeus,0.714
18,0.624,1.8055,1.8112,67102,53828,Pipistrellus pygmaeus,0.621
19,0.63,1.8615,1.8664,69571,53828,Pipistrellus pygmaeus,0.626
20,0.694,1.9215,1.9269,71323,53828,Pipistrellus pygmaeus,0.692
21,0.757,1.9755,1.9803,77575,53828,Pipistrellus pygmaeus,0.747
22,0.723,2.0245,2.0287,72044,54687,Pipistrellus pygmaeus,0.719
23,0.814,2.0695,2.0746,77861,55546,Pipistrellus pygmaeus,0.808
24,0.802,2.1185,2.1231,77527,55546,Pipistrellus pygmaeus,0.797
25,0.734,2.1685,2.174,66664,55546,Pipistrellus pygmaeus,0.719
26,0.638,2.2145,2.2198,73197,55546,Pipistrellus pygmaeus,0.634
27,0.759,2.2515,2.2563,78285,54687,Pipistrellus pygmaeus,0.755
28,0.748,2.5505,2.5558,75825,52968,Pipistrellus pygmaeus,0.741
29,0.795,2.6285,2.6331,77435,54687,Pipistrellus pygmaeus,0.79
30,0.771,2.7015,2.7072,90424,55546,Pipistrellus pygmaeus,0.768
31,0.747,2.7785,2.7845,88523,53828,Pipistrellus pygmaeus,0.743
32,0.801,2.8575,2.8638,89260,53828,Pipistrellus pygmaeus,0.798
33,0.723,2.9345,2.9405,85717,52968,Pipistrellus pygmaeus,0.714
